@id,@lon,@lat,name,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street
446307223,21.4517658,41.9917263,,,,,,
446307224,21.4512779,41.9920168,,,,,,
446307225,21.4514749,41.9921995,,,,,,
446307226,21.4519627,41.991909,,,,,,
5731830741,21.4311392,41.9939159,,,,,,
9241188268,21.4312013,41.9940741,,,,,,
9241188269,21.4321195,41.9936743,,,,,,
9241188270,21.4321643,41.9937567,,,,,,
9241188271,21.4315729,41.9939027,,,,,,
9241188272,21.4316064,41.9939782,,,,,,
9241354380,21.4362759,41.9908584,Фонд за здравствено осигурување - Црвен Крст,Cкoпje,MK,бб,1000,Булевар Кочо Рацин
1000000038001277,21.4516202,41.9919629,Фонд за пензиско и инвалидско осигурување на Македонија,Cкoпje,MK,11,1000,23 Октомври
1000001001162494,21.4316517,41.9938742,Фонд за здравствено осигурување - Мајка Тереза,Cкoпje,MK,5,1000,Македонија
