Министерство за транспорт и врски,Црвена Скопска општина бр. 4,"9b3063ccd8604998b1feca5421d134c0&extent=21.435,41.9982,21.4352,41.9982"
Матично подрачје Аеродром,бул. Јане Сандански бр. 109 б,"59e4783d8f7d47c5a49c22a6843eb3b7&extent=21.4141,41.9494,21.6036,42.0204"
Полициска станица Бутел,ул. Бутелска бб,"110917121b434cb5aa20d8efc065fc5c&extent=21.4463,42.0376,21.4467,42.0377"
Полициска станица Ѓорче Петров,бул. Македонска Војска бб,"017c9a1e0726484ca564bd481c50332b&extent=21.3105,41.9647,21.5001,42.0356"
Општина Карпош,Радика бр.9,"c92a652ff6434eb998641c635a700925&extent=21.329,41.9635,21.5186,42.0345"
Министерство за финансии на Република Северна Македонија,Даме Груев бр. 12,"2b2c2619eb3a46ff9357460ab7e7e1e4&extent=21.4292,41.9927,21.4295,41.9928"
Здружение на возачите на град Скопје - Карпош 4,ул. Никола Парапунов бр. 49,"74b4d02aa30243519c80fd353aa36e7f&extent=21.3822,42.0087,21.3823,42.0087"
Општина Центар,Михаил Цоков бр.1,"e900a77d3f9241a1b771a0536cd3b519&extent=21.4211,42.0023,21.4213,42.0023"
Матична Служба Ѓорче Петров,ул. Виа Игнатиа бр.6,"6346524170ca4a80899cbb6507771be4&extent=21.3611,42.0061,21.3613,42.0062"
Општина Бутел,Бутелска бр.4,"d9bc6a37c7904b1ca12452b6c5d9d1c3&extent=21.4457,42.0312,21.4459,42.0313"
Општина Ѓорче Петров,Ѓорче Петров бр.73,"21557de83d804b6db438c7bd4e075abb&extent=21.3317,41.9874,21.4265,42.0228"
Министерство за животна средина и просторно планирање,Плоштад Пресвета Богородица бр. 3,"1f6e17f7ae87434081280b64b3fac271&extent=21.4384,41.9963,21.4386,41.9963"
Општина Сарај,Рекреативен Центар бб,"e7849aed2e8d460195d01848c4cdaef9&extent=21.3315,41.9985,21.3434,42.0029"
Министерство за информатичко општество и администрација,Св. Кирил и Методиј бр.54,"f471e37fc88c43898ba8e7fce95b91f3&extent=21.4235,41.9936,21.4242,41.9938"
Министерство за образование и наука,Св. Кирил и Методиј бр.54,"c48db220bf22428fbdac0bcb85b2810d&extent=21.4229,41.9937,21.4233,41.9938"
Управа за водење на матични книги за Општина Карпош,ул. Бранислав Нушиќ бр. 4,"7bc1dade8de240d28e1c55344daa1630&extent=21.4107,42.0022,21.4109,42.0023"
Агенција за катастар на недвижности на Република Северна Македонија,Трифун Хаџијанев бр.4,"928b2e5e01f64a0b8e85f45d6e3ee437&extent=21.4619,42.0025,21.4626,42.0029"
ПСС Пинтија,Борис Трајковски бр.143,"26530113c9e042ef9cd1b67d6335c87a&extent=21.4988,41.9409,21.499,41.941"
Министерство за земјоделство шумарство и водостопанство-Copy,Аминта Трети бр. 2,"168ef0df2aa64eb2b339283ba5625242&extent=21.4264,42.003,21.4266,42.003"
Општина Гази Баба,Архимедова бр.2,"796ff8fe428e49e396350b411274a526&extent=21.4522,42,21.4524,42"
Технички преглед ЦЕРТУС-ЦРЦ,Лепенец бр. 10,"59482bf33e7b4d8e8b48e3d1dcdd6e01&extent=21.3614,42.0153,21.3616,42.0153"
Фонд за пензиско и инвалидско осигурување на Македонија,23 Октомври бр. 11,"c0dcaaf5d3d945b18869a57b5b701bb0&extent=21.4504,41.9913,21.4534,41.9926
"
Управа за водење на матични книги-Чаир,ул. Христијан Тодоровски Карпош бр.5,"9851f9d0fcee4036816dc662c0f13794&extent=21.4478,42.0206,21.448,42.0207"
Агенција за храна и ветеринарство,Трета Македонска Бригада бр.20,"95b87f9f306e49f89b2f6dd987010d1a&extent=21.4383,41.9882,21.4413,41.9895"
ПСС ЗАЈЧЕВ РИД,Скупи бр. 18,"33c9aa0f1ea64815892920b08ae15907&extent=21.3987,42.0152,21.3989,42.0153"
Општина Град Скопје,Булевар Илинден бр.82,"07cd9c27632f44a281f0a3d4cfb71c94&extent=21.4202,42.0039,21.4206,42.004"
Агенција за лекови и медицински средства - МАЛМЕД,Св. Кирил и Методиј бр.54,"6bbfb5b1ca694b70a6c267f4d9fb1072&extent=21.423,41.993,21.426,41.9943"
Царинска управа на Македонија,Лазар Личеноски бр. 13,"426e707a9ae9425fb7df0fb4f1f0120d&extent=21.4301,42.0011,21.4317,42.0015"
Управа за јавни приходи,11 Октомври бр. 27,"3fb53642ad3f4581b8c24167a9eeed2c&extent=21.4363,41.9891,21.4365,41.9891"
Министерство за Култура,Мирослав Крлежа бр. 61,"ac008914e21e4a17ad9b64da57886667&extent=21.421,42.0001,21.4226,42.0006"
ПЕТРОЛ-ОИЛ КОМПАНИ,Улица 1 бр.3б,"45ef23c8d6df42d68f010f1a92801563&extent=21.35,42.0251,21.3502,42.0252"
ПСС Усје,Борис Трајковски бр.166,"f638c9a80e2d429ba2b3555589bc70c6&extent=21.4676,41.968,21.4678,41.968"
Управа за водење на матичните книги на Република Македонија - Подрачно одделение Скопје,ул. Кеј Димитар Влахов бб,"f03ba74bba2f4e6e94b47cc1a6f5e901&extent=21.4347,41.9969,21.4348,41.9969
"
